ENTREZ_GENE_ID	Name	Species
100132341	clustered mitochondria homolog pseudogene 3(CLUHP3)	Homo sapiens
8195	McKusick-Kaufman syndrome(MKKS)	Homo sapiens
221184	copine 2(CPNE2)	Homo sapiens
401409	RAB19, member RAS oncogene family(RAB19)	Homo sapiens
90121	TSR2, ribosome maturation factor(TSR2)	Homo sapiens
8204	nuclear receptor interacting protein 1(NRIP1)	Homo sapiens
81932	haloacid dehalogenase like hydrolase domain containing 3(HDHD3)	Homo sapiens
13	arylacetamide deacetylase(AADAC)	Homo sapiens
14	angio associated migratory cell protein(AAMP)	Homo sapiens
401431	ATP6V0E2 antisense RNA 1(ATP6V0E2-AS1)	Homo sapiens
90133	keratin 8 pseudogene 12(KRT8P12)	Homo sapiens
8214	DiGeorge syndrome critical region gene 6(DGCR6)	Homo sapiens
90135	BTB domain containing 6(BTBD6)	Homo sapiens
8216	leucine zipper like transcription regulator 1(LZTR1)	Homo sapiens
25	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)	Homo sapiens
27	ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)	Homo sapiens
30	acetyl-CoA acyltransferase 1(ACAA1)	Homo sapiens
253980	potassium channel tetramerization domain containing 13(KCTD13)	Homo sapiens
33	acyl-CoA dehydrogenase, long chain(ACADL)	Homo sapiens
8227	A-kinase anchoring protein 17A(AKAP17A)	Homo sapiens
57381	ras homolog family member J(RHOJ)	Homo sapiens
286753	tumor suppressor candidate 5(TUSC5)	Homo sapiens
8233	zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2(ZRSR2)	Homo sapiens
8237	ubiquitin specific peptidase 11(USP11)	Homo sapiens
204851	homeodomain interacting protein kinase 1(HIPK1)	Homo sapiens
8241	RNA binding motif protein 10(RBM10)	Homo sapiens
57396	CDC like kinase 4(CLK4)	Homo sapiens
90167	FERM domain containing 7(FRMD7)	Homo sapiens
57402	S100 calcium binding protein A14(S100A14)	Homo sapiens
57403	RAB22A, member RAS oncogene family(RAB22A)	Homo sapiens
60	actin beta(ACTB)	Homo sapiens
139324	highly divergent homeobox(HDX)	Homo sapiens
57409	MIF4G domain containing(MIF4GD)	Homo sapiens
57410	SCY1 like pseudokinase 1(SCYL1)	Homo sapiens
8260	N(alpha)-acetyltransferase 10, NatA catalytic subunit(NAA10)	Homo sapiens
114757	cytoglobin(CYGB)	Homo sapiens
147525	long intergenic non-protein coding RNA 526(LINC00526)	Homo sapiens
71	actin gamma 1(ACTG1)	Homo sapiens
122953	Jun dimerization protein 2(JDP2)	Homo sapiens
8266	ubiquitin like 4A(UBL4A)	Homo sapiens
8270	L antigen family member 3(LAGE3)	Homo sapiens
81	actinin alpha 4(ACTN4)	Homo sapiens
114771	peptidoglycan recognition protein 3(PGLYRP3)	Homo sapiens
114770	peptidoglycan recognition protein 2(PGLYRP2)	Homo sapiens
87	actinin alpha 1(ACTN1)	Homo sapiens
88	actinin alpha 2(ACTN2)	Homo sapiens
89	actinin alpha 3 (gene/pseudogene)(ACTN3)	Homo sapiens
90203	sorting nexin family member 21(SNX21)	Homo sapiens
95	aminoacylase 1(ACY1)	Homo sapiens
114785	methyl-CpG binding domain protein 6(MBD6)	Homo sapiens
401508	family with sequence similarity 74 member A4(FAM74A4)	Homo sapiens
8290	histone cluster 3 H3(HIST3H3)	Homo sapiens
100287902	LGALS8 antisense RNA 1(LGALS8-AS1)	Homo sapiens
401507	family with sequence similarity 74 member A1(FAM74A1)	Homo sapiens
8294	histone cluster 1 H4 family member i(HIST1H4I)	Homo sapiens
114790	serine/threonine kinase 11 interacting protein(STK11IP)	Homo sapiens
114793	formin like 2(FMNL2)	Homo sapiens
104	adenosine deaminase, RNA specific B1(ADARB1)	Homo sapiens
57449	pleckstrin homology and RhoGEF domain containing G5(PLEKHG5)	Homo sapiens
114792	kelch like family member 32(KLHL32)	Homo sapiens
8301	phosphatidylinositol binding clathrin assembly protein(PICALM)	Homo sapiens
286827	tripartite motif containing 59(TRIM59)	Homo sapiens
114798	SLIT and NTRK like family member 1(SLITRK1)	Homo sapiens
57456	KIAA1143(KIAA1143)	Homo sapiens
114800	coiled-coil domain containing 85A(CCDC85A)	Homo sapiens
114803	Myb like, SWIRM and MPN domains 1(MYSM1)	Homo sapiens
57459	GATA zinc finger domain containing 2B(GATAD2B)	Homo sapiens
57461	ISY1 splicing factor homolog(ISY1)	Homo sapiens
8309	acyl-CoA oxidase 2(ACOX2)	Homo sapiens
221302	zinc finger with UFM1 specific peptidase domain(ZUFSP)	Homo sapiens
118	adducin 1(ADD1)	Homo sapiens
8313	axin 2(AXIN2)	Homo sapiens
8317	cell division cycle 7(CDC7)	Homo sapiens
8318	cell division cycle 45(CDC45)	Homo sapiens
57473	zinc finger protein 512B(ZNF512B)	Homo sapiens
57474	zinc finger protein 490(ZNF490)	Homo sapiens
8322	frizzled class receptor 4(FZD4)	Homo sapiens
401541	centromere protein P(CENPP)	Homo sapiens
8324	frizzled class receptor 7(FZD7)	Homo sapiens
114823	leukocyte receptor cluster member 8(LENG8)	Homo sapiens
114822	rhophilin Rho GTPase binding protein 1(RHPN1)	Homo sapiens
196740	V-set and transmembrane domain containing 4(VSTM4)	Homo sapiens
114824	paraneoplastic Ma antigen family member 5(PNMA5)	Homo sapiens
57489	outer dense fiber of sperm tails 2 like(ODF2L)	Homo sapiens
8341	histone cluster 1 H2B family member n(HIST1H2BN)	Homo sapiens
152	adrenoceptor alpha 2C(ADRA2C)	Homo sapiens
8345	histone cluster 1 H2B family member h(HIST1H2BH)	Homo sapiens
57498	kinase D-interacting substrate 220kDa(KIDINS220)	Homo sapiens
8348	histone cluster 1 H2B family member o(HIST1H2BO)	Homo sapiens
401563	chromosome 9 open reading frame 139(C9orf139)	Homo sapiens
729238	surfactant protein A2(SFTPA2)	Homo sapiens
90268	OTU deubiquitinase with linear linkage specificity(OTULIN)	Homo sapiens
442523	DPY19L2 pseudogene 4(DPY19L2P4)	Homo sapiens
161	adaptor related protein complex 2 alpha 2 subunit(AP2A2)	Homo sapiens
57506	mitochondrial antiviral signaling protein(MAVS)	Homo sapiens
8354	histone cluster 1 H3 family member i(HIST1H3I)	Homo sapiens
162	adaptor related protein complex 1 beta 1 subunit(AP1B1)	Homo sapiens
8355	histone cluster 1 H3 family member g(HIST1H3G)	Homo sapiens
286887	keratin 6C(KRT6C)	Homo sapiens
163	adaptor related protein complex 2 beta 1 subunit(AP2B1)	Homo sapiens
164	adaptor related protein complex 1 gamma 1 subunit(AP1G1)	Homo sapiens
166	amino-terminal enhancer of split(AES)	Homo sapiens
57511	component of oligomeric golgi complex 6(COG6)	Homo sapiens
254122	sorting nexin 32(SNX32)	Homo sapiens
